Trial ID,plot,sample__planned_growth_stage,items_per_sample,variable,value_dw,value_agronomist,n_samples
four-georgia-march-fruit-alanine-steak,402,VT,1,dry_weight_g,181.0,193.97,34
four-georgia-march-fruit-alanine-steak,403,VT,1,dry_weight_g,106.5,146.87,33
four-georgia-march-fruit-alanine-steak,403,VT,1,dry_weight_g,182.3,146.87,33
four-georgia-march-fruit-alanine-steak,404,VT,1,dry_weight_g,154.7,143.03,35
four-georgia-march-fruit-alanine-steak,404,VT,1,dry_weight_g,131.3,143.03,35
four-georgia-march-fruit-alanine-steak,405,VT,1,dry_weight_g,159.2,135.43,36
four-georgia-march-fruit-alanine-steak,405,VT,1,dry_weight_g,129.9,135.43,36
four-georgia-march-fruit-alanine-steak,405,VT,1,dry_weight_g,117.2,135.43,36
four-georgia-march-fruit-alanine-steak,406,VT,1,dry_weight_g,110.6,121.5,34
four-georgia-march-fruit-alanine-steak,406,VT,1,dry_weight_g,129.4,121.5,34
four-georgia-march-fruit-alanine-steak,407,VT,1,dry_weight_g,103.0,113.23,32
four-georgia-march-fruit-alanine-steak,407,VT,1,dry_weight_g,94.6,113.23,32
four-georgia-march-fruit-alanine-steak,408,VT,1,dry_weight_g,131.7,131.63,30
four-georgia-march-fruit-alanine-steak,408,VT,1,dry_weight_g,122.2,131.63,30
four-georgia-march-fruit-alanine-steak,409,VT,1,dry_weight_g,136.6,145.8,33
four-georgia-march-fruit-alanine-steak,409,VT,1,dry_weight_g,147.3,145.8,33
four-georgia-march-fruit-alanine-steak,501,VT,1,dry_weight_g,89.2,97.73,6
four-georgia-march-fruit-alanine-steak,501,VT,1,dry_weight_g,94.0,97.73,6
four-georgia-march-fruit-alanine-steak,502,VT,1,dry_weight_g,218.2,165.33,6
four-georgia-march-fruit-alanine-steak,502,VT,1,dry_weight_g,156.4,165.33,6
four-georgia-march-fruit-alanine-steak,503,VT,1,dry_weight_g,124.7,124.97,6
four-georgia-march-fruit-alanine-steak,503,VT,1,dry_weight_g,110.8,124.97,6
four-georgia-march-fruit-alanine-steak,504,VT,1,dry_weight_g,115.2,113.3,5
four-georgia-march-fruit-alanine-steak,504,VT,1,dry_weight_g,107.8,113.3,5
four-georgia-march-fruit-alanine-steak,505,VT,1,dry_weight_g,114.1,116.57,6
four-georgia-march-fruit-alanine-steak,505,VT,1,dry_weight_g,102.9,116.57,6
four-georgia-march-fruit-alanine-steak,506,VT,1,dry_weight_g,126.6,120.6,6
four-georgia-march-fruit-alanine-steak,506,VT,1,dry_weight_g,108.2,120.6,6
four-georgia-march-fruit-alanine-steak,507,VT,1,dry_weight_g,122.9,118.97,6
four-georgia-march-fruit-alanine-steak,507,VT,1,dry_weight_g,131.1,118.97,6
four-georgia-march-fruit-alanine-steak,508,VT,1,dry_weight_g,117.3,105.4,6
four-georgia-march-fruit-alanine-steak,508,VT,1,dry_weight_g,120.7,105.4,6
four-georgia-march-fruit-alanine-steak,509,VT,1,dry_weight_g,139.8,122.2,7
four-georgia-march-fruit-alanine-steak,509,VT,1,dry_weight_g,128.0,122.2,7
four-georgia-march-fruit-alanine-steak,601,VT,1,dry_weight_g,123.8,117.8,6
four-georgia-march-fruit-alanine-steak,601,VT,1,dry_weight_g,124.5,117.8,6
four-georgia-march-fruit-alanine-steak,602,VT,1,dry_weight_g,107.7,96.5,8
four-georgia-march-fruit-alanine-steak,602,VT,1,dry_weight_g,104.6,96.5,8
four-georgia-march-fruit-alanine-steak,602,VT,1,dry_weight_g,77.2,96.5,8
four-georgia-march-fruit-alanine-steak,603,VT,1,dry_weight_g,94.0,114.97,7
four-georgia-march-fruit-alanine-steak,603,VT,1,dry_weight_g,120.6,114.97,7
four-georgia-march-fruit-alanine-steak,604,VT,1,dry_weight_g,90.3,102.57,7
four-georgia-march-fruit-alanine-steak,604,VT,1,dry_weight_g,101.5,102.57,7
four-georgia-march-fruit-alanine-steak,605,VT,1,dry_weight_g,96.8,90.3,6
four-georgia-march-fruit-alanine-steak,605,VT,1,dry_weight_g,108.0,90.3,6
four-georgia-march-fruit-alanine-steak,606,VT,1,dry_weight_g,93.3,87.93,7
four-georgia-march-fruit-alanine-steak,606,VT,1,dry_weight_g,76.0,87.93,7
four-georgia-march-fruit-alanine-steak,607,VT,1,dry_weight_g,124.1,109.37,6
four-georgia-march-fruit-alanine-steak,607,VT,1,dry_weight_g,106.9,109.37,6
delaware-queen-angel-artist-green-south,304,VT,3,dry_weight_g,235.1,80.87,35
delaware-queen-angel-artist-green-south,305,VT,3,dry_weight_g,226.5,84.13,37
delaware-queen-angel-artist-green-south,309,VT,3,dry_weight_g,260.8,79.47,38
delaware-queen-angel-artist-green-south,401,VT,3,dry_weight_g,208.5,78.37,34
delaware-queen-angel-artist-green-south,402,VT,3,dry_weight_g,251.4,75.5,34
delaware-queen-angel-artist-green-south,403,VT,3,dry_weight_g,270.8,76.6,33
delaware-queen-angel-artist-green-south,405,VT,3,dry_weight_g,261.2,82.97,36
delaware-queen-angel-artist-green-south,406,VT,3,dry_weight_g,210.7,82.7,34
delaware-queen-angel-artist-green-south,407,VT,3,dry_weight_g,231.7,81.83,32
delaware-queen-angel-artist-green-south,408,VT,3,dry_weight_g,192.6,86.43,30
delaware-queen-angel-artist-green-south,409,VT,3,dry_weight_g,201.7,79.83,33
four-georgia-march-fruit-alanine-steak,107,VT,1,dry_weight_g,126.6,105.47,35
four-georgia-march-fruit-alanine-steak,108,VT,1,dry_weight_g,78.2,97.87,37
four-georgia-march-fruit-alanine-steak,108,VT,1,dry_weight_g,96.6,97.87,37
four-georgia-march-fruit-alanine-steak,109,VT,1,dry_weight_g,85.5,83.63,34
four-georgia-march-fruit-alanine-steak,109,VT,1,dry_weight_g,88.7,83.63,34
four-georgia-march-fruit-alanine-steak,201,VT,1,dry_weight_g,112.3,113.3,35
four-georgia-march-fruit-alanine-steak,201,VT,1,dry_weight_g,142.2,113.3,35
four-georgia-march-fruit-alanine-steak,202,VT,1,dry_weight_g,80.6,122.23,32
four-georgia-march-fruit-alanine-steak,202,VT,1,dry_weight_g,155.6,122.23,32
four-georgia-march-fruit-alanine-steak,203,VT,1,dry_weight_g,99.6,121.43,32
four-georgia-march-fruit-alanine-steak,203,VT,1,dry_weight_g,128.8,121.43,32
four-georgia-march-fruit-alanine-steak,204,VT,1,dry_weight_g,49.7,100.43,33
four-georgia-march-fruit-alanine-steak,204,VT,1,dry_weight_g,114.6,100.43,33
four-georgia-march-fruit-alanine-steak,205,VT,1,dry_weight_g,74.4,79.8,35
four-georgia-march-fruit-alanine-steak,205,VT,1,dry_weight_g,81.6,79.8,35
four-georgia-march-fruit-alanine-steak,206,VT,1,dry_weight_g,100.6,116.63,36
four-georgia-march-fruit-alanine-steak,206,VT,1,dry_weight_g,135.8,116.63,36
four-georgia-march-fruit-alanine-steak,207,VT,1,dry_weight_g,101.8,117.4,35
four-georgia-march-fruit-alanine-steak,207,VT,1,dry_weight_g,116.4,117.4,35
four-georgia-march-fruit-alanine-steak,101,VT,1,dry_weight_g,50.5,86.53,36
four-georgia-march-fruit-alanine-steak,208,VT,1,dry_weight_g,82.7,112.9,36
four-georgia-march-fruit-alanine-steak,101,VT,1,dry_weight_g,97.2,86.53,36
four-georgia-march-fruit-alanine-steak,102,VT,1,dry_weight_g,97.5,110.9,37
four-georgia-march-fruit-alanine-steak,102,VT,1,dry_weight_g,111.8,110.9,37
four-georgia-march-fruit-alanine-steak,102,VT,1,dry_weight_g,123.4,110.9,37
four-georgia-march-fruit-alanine-steak,103,VT,1,dry_weight_g,106.7,119.1,38
four-georgia-march-fruit-alanine-steak,103,VT,1,dry_weight_g,115.6,119.1,38
four-georgia-march-fruit-alanine-steak,104,VT,1,dry_weight_g,91.7,114.47,38
four-georgia-march-fruit-alanine-steak,104,VT,1,dry_weight_g,125.5,114.47,38
four-georgia-march-fruit-alanine-steak,105,VT,1,dry_weight_g,99.1,105.27,35
four-georgia-march-fruit-alanine-steak,105,VT,1,dry_weight_g,112.3,105.27,35
four-georgia-march-fruit-alanine-steak,106,VT,1,dry_weight_g,101.6,102.33,35
four-georgia-march-fruit-alanine-steak,106,VT,1,dry_weight_g,103.4,102.33,35
september-oranges-crazy-florida-delta-monkey,209,VT,3,dry_weight_g,314.2,104.73,35
september-oranges-crazy-florida-delta-monkey,110,VT,3,dry_weight_g,350.1,116.7,3
september-oranges-crazy-florida-delta-monkey,111,VT,3,dry_weight_g,351.4,117.13,2
september-oranges-crazy-florida-delta-monkey,112,VT,3,dry_weight_g,392.4,130.8,2
september-oranges-crazy-florida-delta-monkey,114,VT,3,dry_weight_g,348.6,116.2,2
september-oranges-crazy-florida-delta-monkey,115,VT,3,dry_weight_g,356.6,118.87,3
september-oranges-crazy-florida-delta-monkey,116,VT,3,dry_weight_g,253.9,84.63,3
september-oranges-crazy-florida-delta-monkey,117,VT,3,dry_weight_g,355.5,118.5,3
september-oranges-crazy-florida-delta-monkey,212,VT,3,dry_weight_g,323.9,107.97,1
september-oranges-crazy-florida-delta-monkey,213,VT,3,dry_weight_g,293.1,97.7,2
september-oranges-crazy-florida-delta-monkey,214,VT,3,dry_weight_g,398.4,132.8,2
september-oranges-crazy-florida-delta-monkey,215,VT,3,dry_weight_g,315.4,105.13,2
september-oranges-crazy-florida-delta-monkey,216,VT,3,dry_weight_g,433.2,144.4,2
september-oranges-crazy-florida-delta-monkey,217,VT,3,dry_weight_g,343.8,114.6,2
september-oranges-crazy-florida-delta-monkey,218,VT,3,dry_weight_g,322.4,107.47,2
tennis-sixteen-grey-ink-white-louisiana,101,VT,3,dry_weight_g,578.0,192.67,36
tennis-sixteen-grey-ink-white-louisiana,102,VT,3,dry_weight_g,573.8,191.27,37
tennis-sixteen-grey-ink-white-louisiana,103,VT,3,dry_weight_g,589.8,196.6,38
tennis-sixteen-grey-ink-white-louisiana,104,VT,3,dry_weight_g,552.0,184,38
tennis-sixteen-grey-ink-white-louisiana,105,VT,3,dry_weight_g,557.9,185.97,35
tennis-sixteen-grey-ink-white-louisiana,106,VT,3,dry_weight_g,485.2,161.73,35
tennis-sixteen-grey-ink-white-louisiana,108,VT,3,dry_weight_g,597.6,199.2,37
tennis-sixteen-grey-ink-white-louisiana,109,VT,3,dry_weight_g,573.0,191,34
tennis-sixteen-grey-ink-white-louisiana,201,VT,3,dry_weight_g,591.7,197.23,35
tennis-sixteen-grey-ink-white-louisiana,202,VT,3,dry_weight_g,608.5,202.83,32
tennis-sixteen-grey-ink-white-louisiana,206,VT,3,dry_weight_g,545.8,181.93,36
tennis-sixteen-grey-ink-white-louisiana,207,VT,3,dry_weight_g,585.0,195,35
tennis-sixteen-grey-ink-white-louisiana,208,VT,3,dry_weight_g,595.7,198.57,36
tennis-sixteen-grey-ink-white-louisiana,209,VT,3,dry_weight_g,496.7,165.57,35
four-georgia-march-fruit-alanine-steak,608,VT,1,dry_weight_g,101.0,102.37,6
four-georgia-march-fruit-alanine-steak,608,VT,1,dry_weight_g,101.9,102.37,6
four-georgia-march-fruit-alanine-steak,609,VT,1,dry_weight_g,111.2,98.93,6
four-georgia-march-fruit-alanine-steak,609,VT,1,dry_weight_g,90.2,98.93,6
september-oranges-crazy-florida-delta-monkey,102,VT,3,dry_weight_g,416.3,138.77,37
september-oranges-crazy-florida-delta-monkey,103,VT,3,dry_weight_g,321.2,107.07,38
september-oranges-crazy-florida-delta-monkey,104,VT,3,dry_weight_g,318.2,106.07,38
september-oranges-crazy-florida-delta-monkey,105,VT,3,dry_weight_g,366.5,122.17,35
september-oranges-crazy-florida-delta-monkey,106,VT,3,dry_weight_g,335.2,111.73,35
september-oranges-crazy-florida-delta-monkey,107,VT,3,dry_weight_g,377.0,125.67,35
september-oranges-crazy-florida-delta-monkey,108,VT,3,dry_weight_g,308.5,102.83,37
september-oranges-crazy-florida-delta-monkey,203,VT,3,dry_weight_g,343.0,114.33,32
september-oranges-crazy-florida-delta-monkey,204,VT,3,dry_weight_g,325.1,108.37,33
september-oranges-crazy-florida-delta-monkey,205,VT,3,dry_weight_g,301.7,100.57,35
september-oranges-crazy-florida-delta-monkey,206,VT,3,dry_weight_g,479.3,159.77,36
four-georgia-march-fruit-alanine-steak,208,VT,1,dry_weight_g,115.8,112.9,36
four-georgia-march-fruit-alanine-steak,208,VT,1,dry_weight_g,140.2,112.9,36
four-georgia-march-fruit-alanine-steak,209,VT,1,dry_weight_g,121.1,102.63,35
four-georgia-march-fruit-alanine-steak,209,VT,1,dry_weight_g,89.1,102.63,35
four-georgia-march-fruit-alanine-steak,301,VT,1,dry_weight_g,106.3,106.1,30
four-georgia-march-fruit-alanine-steak,301,VT,1,dry_weight_g,109.8,106.1,30
four-georgia-march-fruit-alanine-steak,302,VT,1,dry_weight_g,116.9,114.7,34
four-georgia-march-fruit-alanine-steak,302,VT,1,dry_weight_g,124.0,114.7,34
four-georgia-march-fruit-alanine-steak,303,VT,1,dry_weight_g,64.0,79.93,36
four-georgia-march-fruit-alanine-steak,303,VT,1,dry_weight_g,86.5,79.93,36
four-georgia-march-fruit-alanine-steak,304,VT,1,dry_weight_g,105.9,105.07,35
four-georgia-march-fruit-alanine-steak,304,VT,1,dry_weight_g,108.0,105.07,35
four-georgia-march-fruit-alanine-steak,305,VT,1,dry_weight_g,99.2,106.83,37
four-georgia-march-fruit-alanine-steak,305,VT,1,dry_weight_g,111.2,106.83,37
four-georgia-march-fruit-alanine-steak,306,VT,1,dry_weight_g,88.6,102.03,37
four-georgia-march-fruit-alanine-steak,306,VT,1,dry_weight_g,115.2,102.03,37
four-georgia-march-fruit-alanine-steak,307,VT,1,dry_weight_g,90.0,75.47,36
four-georgia-march-fruit-alanine-steak,307,VT,1,dry_weight_g,49.0,75.47,36
four-georgia-march-fruit-alanine-steak,308,VT,1,dry_weight_g,88.8,107.8,38
four-georgia-march-fruit-alanine-steak,308,VT,1,dry_weight_g,129.0,107.8,38
four-georgia-march-fruit-alanine-steak,309,VT,1,dry_weight_g,130.3,163.2,38
four-georgia-march-fruit-alanine-steak,309,VT,1,dry_weight_g,201.9,163.2,38
four-georgia-march-fruit-alanine-steak,401,VT,1,dry_weight_g,190.6,192.13,34
eighteen-thirteen-foxtrot-cold-carbon-wolfram,208,VT,3,dry_weight_g,260.3,,36
tennis-sixteen-grey-ink-white-louisiana,604,VT,3,dry_weight_g,595.8,198.6,7
tennis-sixteen-grey-ink-white-louisiana,605,VT,3,dry_weight_g,584.7,194.9,6
tennis-sixteen-grey-ink-white-louisiana,606,VT,3,dry_weight_g,538.3,179.43,7
tennis-sixteen-grey-ink-white-louisiana,608,VT,3,dry_weight_g,594.5,198.17,6
tennis-sixteen-grey-ink-white-louisiana,609,VT,3,dry_weight_g,398.3,132.77,6
eighteen-thirteen-foxtrot-cold-carbon-wolfram,101,VT,3,dry_weight_g,320.5,,36
eighteen-thirteen-foxtrot-cold-carbon-wolfram,102,VT,3,dry_weight_g,338.6,,37
eighteen-thirteen-foxtrot-cold-carbon-wolfram,106,VT,3,dry_weight_g,356.7,,35
eighteen-thirteen-foxtrot-cold-carbon-wolfram,107,VT,3,dry_weight_g,415.2,,35
eighteen-thirteen-foxtrot-cold-carbon-wolfram,108,VT,3,dry_weight_g,404.5,,37
eighteen-thirteen-foxtrot-cold-carbon-wolfram,109,VT,3,dry_weight_g,351.4,,34
eighteen-thirteen-foxtrot-cold-carbon-wolfram,201,VT,3,dry_weight_g,210.0,,35
eighteen-thirteen-foxtrot-cold-carbon-wolfram,202,VT,3,dry_weight_g,220.3,,32
eighteen-thirteen-foxtrot-cold-carbon-wolfram,203,VT,3,dry_weight_g,259.8,,32
tennis-sixteen-grey-ink-white-louisiana,502,VT,3,dry_weight_g,559.2,186.4,6
tennis-sixteen-grey-ink-white-louisiana,503,VT,3,dry_weight_g,585.6,195.2,6
tennis-sixteen-grey-ink-white-louisiana,504,VT,3,dry_weight_g,596.7,198.9,5
tennis-sixteen-grey-ink-white-louisiana,505,VT,3,dry_weight_g,597.3,199.1,6
tennis-sixteen-grey-ink-white-louisiana,509,VT,3,dry_weight_g,551.0,183.67,7
tennis-sixteen-grey-ink-white-louisiana,601,VT,3,dry_weight_g,600.6,200.2,6
tennis-sixteen-grey-ink-white-louisiana,602,VT,3,dry_weight_g,582.1,194.03,8
tennis-sixteen-grey-ink-white-louisiana,603,VT,3,dry_weight_g,582.2,194.07,7
washington-uranus-eighteen-queen-cardinal-cola,303,VT,3,dry_weight_g,273.1,91.03,36
washington-uranus-eighteen-queen-cardinal-cola,409,VT,3,dry_weight_g,212.4,70.8,33
eighteen-thirteen-foxtrot-cold-carbon-wolfram,303,VT,3,dry_weight_g,266.6,,36
eighteen-thirteen-foxtrot-cold-carbon-wolfram,304,VT,3,dry_weight_g,237.2,,35
eighteen-thirteen-foxtrot-cold-carbon-wolfram,305,VT,3,dry_weight_g,294.0,,37
eighteen-thirteen-foxtrot-cold-carbon-wolfram,306,VT,3,dry_weight_g,283.6,,37
eighteen-thirteen-foxtrot-cold-carbon-wolfram,307,VT,3,dry_weight_g,239.0,,36
eighteen-thirteen-foxtrot-cold-carbon-wolfram,308,VT,3,dry_weight_g,241.9,,38
eighteen-thirteen-foxtrot-cold-carbon-wolfram,309,VT,3,dry_weight_g,267.3,,38
eighteen-thirteen-foxtrot-cold-carbon-wolfram,402,VT,3,dry_weight_g,272.6,,34
eighteen-thirteen-foxtrot-cold-carbon-wolfram,403,VT,3,dry_weight_g,195.6,,33
eighteen-thirteen-foxtrot-cold-carbon-wolfram,404,VT,3,dry_weight_g,247.7,,35
eighteen-thirteen-foxtrot-cold-carbon-wolfram,405,VT,3,dry_weight_g,304.3,,36
eighteen-thirteen-foxtrot-cold-carbon-wolfram,409,VT,3,dry_weight_g,273.5,,33
asparagus-zebra-low-winner-floor-december,301,VT,1,dry_weight_g,125.6,121.00,30
harry-oklahoma-cat-edward-early-butter,208,VT,3,dry_weight_g,207.8,69.27,36
harry-oklahoma-cat-edward-early-butter,404,VT,3,dry_weight_g,202.8,67.6,35
eighteen-thirteen-foxtrot-cold-carbon-wolfram,205,VT,3,dry_weight_g,225.3,,35
eighteen-thirteen-foxtrot-cold-carbon-wolfram,206,VT,3,dry_weight_g,200.4,,36
eighteen-thirteen-foxtrot-cold-carbon-wolfram,207,VT,3,dry_weight_g,321.6,,35
connecticut-leopard-queen-vegan-low-artist,317,VT,1,dry_weight_g,63.3,,2
connecticut-leopard-queen-vegan-low-artist,318,VT,1,dry_weight_g,99.6,,1
nine-texas-march-texas-chicken-hotel,206,VT,3,dry_weight_g,375.5,125.17,36
asparagus-zebra-low-winner-floor-december,406,VT,1,dry_weight_g,58.9,93.43,34
asparagus-zebra-low-winner-floor-december,407,VT,1,dry_weight_g,133.2,113.73,32
asparagus-zebra-low-winner-floor-december,409,VT,1,dry_weight_g,82.2,99.27,33
maryland-summer-nuts-march-minnesota-lamp,102,VT,3,dry_weight_g,308.3,102.77,37
maryland-summer-nuts-march-minnesota-lamp,208,VT,3,dry_weight_g,211.5,70.50,36
maryland-summer-nuts-march-minnesota-lamp,405,VT,3,dry_weight_g,294.6,98.20,36
nine-texas-march-texas-chicken-hotel,403,VT,3,dry_weight_g,345.6,115.20,33
lion-uncle-march-lactose-mexico-vegan,106,VT,3,dry_weight_g,305.5,101.83,35
carolina-earth-spring-carpet-winner-eleven,307,VT,3,dry_weight_g,264.5,88.17,36
lion-uncle-march-lactose-mexico-vegan,303,VT,3,dry_weight_g,285.9, ,36
lion-uncle-march-lactose-mexico-vegan,409,VT,3,dry_weight_g,231.3,77.10,33
east-helium-butter-early-muppet-florida,207,VT,3,dry_weight_g,177.9,59.30,35
connecticut-leopard-queen-vegan-low-artist,108,VT,1,dry_weight_g,75.1,,37
nitrogen-alanine-queen-london-white-nineteen,105,VT,3,dry_weight_g,636.4,,35
nitrogen-alanine-queen-london-white-nineteen,406,VT,3,dry_weight_g,671.6,,34
nitrogen-alanine-queen-london-white-nineteen,407,VT,3,dry_weight_g,628.7,,32
arizona-pluto-yellow-apart-eleven-alanine,203,VT,3,dry_weight_g,387.0,129,32
arizona-pluto-yellow-apart-eleven-alanine,204,VT,3,dry_weight_g,466.8,155.6,33
red-maine-artist-south-wisconsin-october,203,VT,1,dry_weight_g,62.5,73.53,32
red-maine-artist-south-wisconsin-october,204,VT,1,dry_weight_g,78.7,73.60,33
red-maine-artist-south-wisconsin-october,204,VT,1,dry_weight_g,69.9,73.60,33
red-maine-artist-south-wisconsin-october,309,VT,1,dry_weight_g,84.2,75.77,38
red-maine-artist-south-wisconsin-october,403,VT,1,dry_weight_g,59.0,69.73,33
asparagus-zebra-low-winner-floor-december,103,VT,1,dry_weight_g,100.1,94.00,38
asparagus-zebra-low-winner-floor-december,106,VT,1,dry_weight_g,79.1,97.13,35
asparagus-zebra-low-winner-floor-december,209,VT,1,dry_weight_g,132.2,119.13,35
zebra-fillet-moon-sweet-harry-april,106,VT,3,dry_weight_g,64.7,21.57,35
island-beryllium-idaho-wyoming-florida-nitrogen,304,VT,3,dry_weight_g,257.3,59.17,35
mountain-november-chicken-avocado-magazine-oven,203,VT,3,dry_weight_g,324.9,108.3,32
alanine-cup-tango-hotel-oven-pasta,101,VT,3,dry_weight_g,180.3,60.10,36
alanine-cup-tango-hotel-oven-pasta,206,VT,3,dry_weight_g,176.3,58.77,36
alanine-cup-tango-hotel-oven-pasta,403,VT,3,dry_weight_g,188.5,62.83,33
summer-freddie-colorado-fish-robert-hamper,106,VT,3,dry_weight_g,357.4,,35
summer-freddie-colorado-fish-robert-hamper,303,VT,3,dry_weight_g,384.1,,36
summer-freddie-colorado-fish-robert-hamper,409,VT,3,dry_weight_g,316.8,,33
connecticut-leopard-queen-vegan-low-artist,109,VT,1,dry_weight_g,91.2,,34
connecticut-leopard-queen-vegan-low-artist,111,VT,1,dry_weight_g,151.6,,2
connecticut-leopard-queen-vegan-low-artist,205,VT,1,dry_weight_g,81.7,,35
connecticut-leopard-queen-vegan-low-artist,302,VT,1,dry_weight_g,104.7,,34
pizza-venus-fourteen-apart-sierra-crazy,309,VT,3,dry_weight_g,328.7,,38
bravo-arizona-sixteen-eighteen-hot-spaghetti,101,VT,3,dry_weight_g,297.7,99.23,36
bravo-arizona-sixteen-eighteen-hot-spaghetti,405,VT,3,dry_weight_g,180.4,60.13,36
bravo-arizona-sixteen-eighteen-hot-spaghetti,601,VT,3,dry_weight_g,237.4,79.13,6
eighteen-thirteen-foxtrot-cold-carbon-wolfram,103,VT,3,dry_weight_g,372.9,,38
red-maine-artist-south-wisconsin-october,108,VT,1,dry_weight_g,52.4,70.33,37
asparagus-zebra-low-winner-floor-december,303,VT,1,dry_weight_g,103.8,111.87,36
nine-texas-march-texas-chicken-hotel,106,VT,3,dry_weight_g,311.2,103.73,35
four-georgia-march-fruit-alanine-steak,508,V6-V7,5,dry_weight_g,32.5,6.5,8
four-georgia-march-fruit-alanine-steak,309,VT,1,dry_weight_g,157.4,163.2,38
maryland-summer-nuts-march-minnesota-lamp,407,VT,3,dry_weight_g,325.1,108.37,32
nitrogen-alanine-queen-london-white-nineteen,307,VT,3,dry_weight_g,808.9,,36
bravo-arizona-sixteen-eighteen-hot-spaghetti,609,VT,3,dry_weight_g,234.1,78.03,6
alanine-cup-tango-hotel-oven-pasta,204,VT,3,dry_weight_g,171.5,57.17,33
summer-freddie-colorado-fish-robert-hamper,306,VT,3,dry_weight_g,326.4,,37
